title,character,character_alias,actor
Agents of S.H.I.E.L.D.,Bartender,,Byron McIntyre
Agents of S.H.I.E.L.D.,Driver,,Sufian Kassam
Agents of S.H.I.E.L.D.,FSO Agent,,Roman Varshavsky
Agents of S.H.I.E.L.D.,Xiao Chen,,Alexandra Bokyun Chun
Agents of S.H.I.E.L.D.,Zhi,,David An
Agents of S.H.I.E.L.D.,Darryl,,Preston Flagg
Agents of S.H.I.E.L.D.,Father,,John Churchill
Agents of S.H.I.E.L.D.,Mayan,,Jason Glover
Agents of S.H.I.E.L.D.,Felix,,Samuel Barajas
Agents of S.H.I.E.L.D.,Bartender,,Hal Perry
Agents of S.H.I.E.L.D.,S.H.I.E.L.D. Agent,,Matt Ferrucci
Agents of S.H.I.E.L.D.,Marilyn,,Rheagan Wallace
Agents of S.H.I.E.L.D.,Mrs. Lee,,Kavita Patil
Agents of S.H.I.E.L.D.,Hangar Guard #1,,Peter Jang
Agents of S.H.I.E.L.D.,Rick,,Wes Armstrong
Agents of S.H.I.E.L.D.,Guy,,Jim Hanna
Agents of S.H.I.E.L.D.,FBI Agent Jurmain,,Sheila Cutchlow
Agents of S.H.I.E.L.D.,Waitress,,Karole Foreman
Agents of S.H.I.E.L.D.,Kree Guard,,Torrance Jordan
Agents of S.H.I.E.L.D.,Hydra Gate Guard,,Beau Bonness
Agents of S.H.I.E.L.D.,Estella,,Nayo Wallace
Agents of S.H.I.E.L.D.,Comms Agent,,Jamal Akakpo
Agents of S.H.I.E.L.D.,Bartender,,Josh Fingerhut
Agents of S.H.I.E.L.D.,Agent Fox,,Levi Meaden
Agents of S.H.I.E.L.D.,Amit,,Shalin Agarwal
Agents of S.H.I.E.L.D.,Security Guard,,Bubba Ganter
Agents of S.H.I.E.L.D.,Ford Chronicom,,Nic Few
Agents of S.H.I.E.L.D.,Waiter,,Amos Glick
Agents of S.H.I.E.L.D.,Genesis,,Lauren de Miranda
Agents of S.H.I.E.L.D.,Salty Waitress,,Kara Gibson
Agents of S.H.I.E.L.D.,Young Elena,,Sophie Rabe-Martinez
Agents of S.H.I.E.L.D.,Bartender,,Caleb Alexander Smith
Agents of S.H.I.E.L.D.,Mrs. Zeller,,Kyla Garcia
Agents of S.H.I.E.L.D.,Prisoner,,Eijiro Ozaki
Agents of S.H.I.E.L.D.,Second Hydra Agent,,Nick Roth
Agents of S.H.I.E.L.D.,Patient #2,,Carlos E. Campos
Agents of S.H.I.E.L.D.,Tattoo Artist,,Darrel Cherney
Agents of S.H.I.E.L.D.,Tow Truck Driver,,Christopher Rocha
Agents of S.H.I.E.L.D.,Bridget,,Alyce Tawil
Agents of S.H.I.E.L.D.,Officer Anderson,,Meredith Bishop
Agents of S.H.I.E.L.D.,The Sheikh,,Maz Siam
Agents of S.H.I.E.L.D.,Officer Stuart,,Marco Martinez
Agents of S.H.I.E.L.D.,Maitre d',,David L. King
Agents of S.H.I.E.L.D.,Heavy,,Daniel Messier
Agents of S.H.I.E.L.D.,Hydra Tech,,Staci Roberts Steele
Agents of S.H.I.E.L.D.,Officer Bowie,,Scott Broderick
Agents of S.H.I.E.L.D.,Ignacio,,Adrian Quiñonez
Agents of S.H.I.E.L.D.,Leticia,,Stephanie Maura Sanchez
Agents of S.H.I.E.L.D.,Ellen King,,Melissa Bickerton
Agents of S.H.I.E.L.D.,Francisco Rodriguez,,Paul Lincoln Alayo
Agents of S.H.I.E.L.D.,Waitress,,Julia Aks
Agents of S.H.I.E.L.D.,TAC Agent Wilder,,Lashaun Clay
Agents of S.H.I.E.L.D.,Blondie,,Ian Hutton
Agents of S.H.I.E.L.D.,Agent Moore,,Christopher Showerman
Agents of S.H.I.E.L.D.,Hydra Agent,,Ben Cain
Agents of S.H.I.E.L.D.,Woman,,Heather Olt
Agents of S.H.I.E.L.D.,Emissary,,Doug Simpson
Agents of S.H.I.E.L.D.,Driver,,Tanner Gill
Agents of S.H.I.E.L.D.,Field Reporter,,Darsha Phillips
Agents of S.H.I.E.L.D.,Confederacy Leader Magei,,E.R. Ruiz
Agents of S.H.I.E.L.D.,Woman,,Amy Tolsky
Agents of S.H.I.E.L.D.,Greeter,,Charlotta Mohlin
Agents of S.H.I.E.L.D.,Sivian Foreman,,Keelin Woodell
Agents of S.H.I.E.L.D.,Alya,,Harlow Happy Hexum
Agents of S.H.I.E.L.D.,Tightly-Wound Scientist,,Hugh B. Holub
Agents of S.H.I.E.L.D.,Marcus,,Marcus Jordan
Agents of S.H.I.E.L.D.,Stoner Chronicom,,David Flynn
Agents of S.H.I.E.L.D.,Olaf,,Brian Orosco
Agents of S.H.I.E.L.D.,Roger Browning,,Matthew Glave
Agents of S.H.I.E.L.D.,Waiter,,Chase Kim
Agents of S.H.I.E.L.D.,Patient #4,,Michael Hanson
Agents of S.H.I.E.L.D.,Pizza Delivery Guy,,Aaron Landon
Agents of S.H.I.E.L.D.,PD Guard #1,,Justin Gant
Agents of S.H.I.E.L.D.,General Cole,,Ian Gregory
Agents of S.H.I.E.L.D.,Colonel,,Houshang Touzie
Agents of S.H.I.E.L.D.,Tina Adams,,Katie Hilliard
Agents of S.H.I.E.L.D.,Assistant,,Shannon Hollander
Agents of S.H.I.E.L.D.,Young Gordon,,Philip Labes
Agents of S.H.I.E.L.D.,Michael,,David Douglas
Agents of S.H.I.E.L.D.,S.H.I.E.L.D. Tech Agent,,Ryan Powers
Agents of S.H.I.E.L.D.,Bartender,,Rob Reinis
Agents of S.H.I.E.L.D.,Selwyn,,Landall Goolsby
Agents of S.H.I.E.L.D.,S.H.I.E.L.D. Agent,,Anthony Corrales
Agents of S.H.I.E.L.D.,Skinhead,,Edward Gelhaus
Agents of S.H.I.E.L.D.,Briggs,,Dale Pavinski
Agents of S.H.I.E.L.D.,Haruto Yakimura,,Tohoru Masamune
Agents of S.H.I.E.L.D.,Mourner,,Henry LeBlanc
Agents of S.H.I.E.L.D.,Russian Soldier,,Vladimir Orlov
Agents of S.H.I.E.L.D.,Lead Officer,,Jaime Alvarez
Agents of S.H.I.E.L.D.,Rowan Lawyer #1,,Andrew Thacher
Agents of S.H.I.E.L.D.,TAC Team Leader,,Lance Broadway
Agents of S.H.I.E.L.D.,Ferocious Watchdog,,Jermaine Jacox
Agents of S.H.I.E.L.D.,Coffee Vendor,,Damian Gomez
Agents of S.H.I.E.L.D.,Laura,,Emily Peck
Agents of S.H.I.E.L.D.,12 Year Old Robin,,Ava Kolker
Agents of S.H.I.E.L.D.,Doctor Ford,,Lyn Alicia Henderson
Agents of S.H.I.E.L.D.,Confederacy Leader Joqo,,Matthew Foster
Agents of S.H.I.E.L.D.,Harold Simcoe,,Phil Abrams
Agents of S.H.I.E.L.D.,Greaseball,,Galen Howard
Agents of S.H.I.E.L.D.,Security Guard,,Jay Linzy
Agents of S.H.I.E.L.D.,Tim,,Donovan Estrada
Agents of S.H.I.E.L.D.,Lead Hunter,,Joss Glennie-Smith
Agents of S.H.I.E.L.D.,German Scientist,,Stephan Käfer
Agents of S.H.I.E.L.D.,Brick,,Adam Dunnells
Agents of S.H.I.E.L.D.,Patient #5,,Natalie Smyka
Agents of S.H.I.E.L.D.,Employee,,Cynthia Rose Hall
Agents of S.H.I.E.L.D.,Air Force Base Commander,,Shannon Mosley
Agents of S.H.I.E.L.D.,PD Guard #2,,Wayne Alon Scott
Agents of S.H.I.E.L.D.,News Reporter,,Chris Wolfe
Agents of S.H.I.E.L.D.,Scientist,,Crystal Coney
Agents of S.H.I.E.L.D.,Rhonda,,Gigi Bermingham
Agents of S.H.I.E.L.D.,Reporter,,Kacey Montoya
Agents of S.H.I.E.L.D.,Yat-Sen,,Alvin Ing
Agents of S.H.I.E.L.D.,S.H.I.E.L.D. Medic,,Mike Miller
Agents of S.H.I.E.L.D.,Agent Harris,,Kyle Mattocks
Agents of S.H.I.E.L.D.,Nathi Zuma,,Bayo Akinfemi
Agents of S.H.I.E.L.D.,Uniformed Officer,,Ronnie Alvarez
Agents of S.H.I.E.L.D.,Wisconsin Congressman,,Mark Daneri
Agents of S.H.I.E.L.D.,Lab Tech,,Abraham Amkpa
Agents of S.H.I.E.L.D.,Woman with Glasses,,Dasha Flynn
Agents of S.H.I.E.L.D.,Crew Cut Guy,,Karson Kern
Agents of S.H.I.E.L.D.,Bartender,,Bruno Amato
Agents of S.H.I.E.L.D.,Centipede Soldier #2,,Matt Mullins
Agents of S.H.I.E.L.D.,Dr. Lingenfelter,,Dale Waddington
Agents of S.H.I.E.L.D.,Hydra Scientist,,Alexander Leeb
Agents of S.H.I.E.L.D.,Trip's Mom,,Donzaleigh Abernathy
Agents of S.H.I.E.L.D.,Thug #2,,Loki
Agents of S.H.I.E.L.D.,Dr. Wilton,,Stephanie Nash
Agents of S.H.I.E.L.D.,Witness,,Mike C. Nelson
Agents of S.H.I.E.L.D.,Short Officer,,Shannon McClung
Agents of S.H.I.E.L.D.,Blue Jacket,,Ben Wise
Agents of S.H.I.E.L.D.,Warden Green,,James Edson
Agents of S.H.I.E.L.D.,Manager,,Bryan Rasmussen
Agents of S.H.I.E.L.D.,Hydra Guard,,Eric Thomas Wilson
Agents of S.H.I.E.L.D.,Pistol Punk,,Ricky Saenz
Agents of S.H.I.E.L.D.,Agent,,Cherie Gierhart
Agents of S.H.I.E.L.D.,Hope's Friend,,Asha Goyal
Agents of S.H.I.E.L.D.,Private Tilden,,JB Tadena
Agents of S.H.I.E.L.D.,Hydra Officer,,Willem van der Vegt
Agents of S.H.I.E.L.D.,Head Chef,,Charles Fathy
Agents of S.H.I.E.L.D.,Lab Assistant,,Madison Lee
Agents of S.H.I.E.L.D.,Burly Gangster,,Omid Zader
Agents of S.H.I.E.L.D.,Hydra TAC Agent,,Chad Cleven
Agents of S.H.I.E.L.D.,Thug #1,,Jerry Ying
Agents of S.H.I.E.L.D.,Corrections Officer,,Sky Soleil
Agents of S.H.I.E.L.D.,Turkish Old Man,,Vance Valencia
Agents of S.H.I.E.L.D.,Slugger Punk,,Devon Libran
Agents of S.H.I.E.L.D.,Watchdog #1,,Pierce Minor
Agents of S.H.I.E.L.D.,Kree Soldier,,Tim Sitarz
Agents of S.H.I.E.L.D.,Well-Dressed Man,,Alex Ross
Agents of S.H.I.E.L.D.,Military Leader,,Franco Vega
Agents of S.H.I.E.L.D.,Bride,,Brie Mattson
Agents of S.H.I.E.L.D.,Young Starlet,,Murielle Telio
Agents of S.H.I.E.L.D.,Bahranian Soldier,,Antonio Jovani Leon
Agents of S.H.I.E.L.D.,Accountant,,Kyle David Pierce
Agents of S.H.I.E.L.D.,Agitator,,Michael Cory Davis
Agents of S.H.I.E.L.D.,Producer,,Devin Barry
Agents of S.H.I.E.L.D.,Waiter,,Johnny Rivas
Agents of S.H.I.E.L.D.,Hydra Officer,,Ben Turner Dixon
Agents of S.H.I.E.L.D.,Female Lieutenant,,Kieren van den Blink
Agents of S.H.I.E.L.D.,S.H.I.E.L.D. Agent,,David A. Jansen
Agents of S.H.I.E.L.D.,Hostage,,Adriana Diaz
Agents of S.H.I.E.L.D.,Soldier #1,,Rich Ceraulo Ko
Agents of S.H.I.E.L.D.,Tac Agent Guard,,James Hutchison III
Agents of S.H.I.E.L.D.,International Model,,Raquel Pomplun
Agents of S.H.I.E.L.D.,Faisal Ahmed,,Hani Al Naimi
Agents of S.H.I.E.L.D.,Mystery Figure,,Aaron Gaffey
Agents of S.H.I.E.L.D.,Station Guard,,Scott Speiser
Agents of S.H.I.E.L.D.,TAC Agent #1,,Branden Morgan
Agents of S.H.I.E.L.D.,Terrified Driver,,Jake Green
Agents of S.H.I.E.L.D.,TAC Agent #2,,Alex Paez
Avengers: Age of Ultron,Tony Stark,Iron Man,Robert Downey Jr.
Avengers: Age of Ultron,Thor,,Chris Hemsworth
Avengers: Age of Ultron,Bruce Banner,Hulk,Mark Ruffalo
Avengers: Age of Ultron,Steve Rogers,Captain America,Chris Evans
Avengers: Age of Ultron,Natasha Romanoff,Black Widow,Scarlett Johansson
Avengers: Age of Ultron,Clint Barton,Hawkeye,Jeremy Renner
Avengers: Age of Ultron,Ultron,,James Spader
Avengers: Age of Ultron,Nick Fury,,Samuel L. Jackson
Avengers: Age of Ultron,James Rhodes,War Machine,Don Cheadle
Avengers: Age of Ultron,Pietro Maximoff,Quicksilver,Aaron Taylor-Johnson
Avengers: Age of Ultron,Wanda Maximoff,Scarlet Witch,Elizabeth Olsen
Avengers: Age of Ultron,Jarvis,Vision,Paul Bettany
Avengers: Age of Ultron,Maria Hill,,Cobie Smulders
Avengers: Age of Ultron,Sam Wilson,The Falcon,Anthony Mackie
Avengers: Age of Ultron,Peggy Carter,,Hayley Atwell
Avengers: Age of Ultron,Heimdall,,Idris Elba
Avengers: Age of Ultron,Laura Barton,,Linda Cardellini
Avengers: Age of Ultron,Erik Selvig,,Stellan Skarsgård
Avengers: Age of Ultron,Dr. Helen Cho,,Claudia Kim
Avengers: Age of Ultron,Strucker,,Thomas Kretschmann
Avengers: Age of Ultron,Ulysses Klaue,,Andy Serkis
Avengers: Age of Ultron,Madame B,,Julie Delpy
Avengers: Age of Ultron,Stan Lee,,Stan Lee
Avengers: Age of Ultron,Dr. List,,Henry Goodman
Avengers: Age of Ultron,Fortress Soldier,,Chris Luca
Avengers: Age of Ultron,Strucker Mercenary,,Brian Schaeffer
Avengers: Age of Ultron,Zrinka,,Dominique Provost-Chalkley
Avengers: Age of Ultron,Costel,,Isaac Andrews
Avengers: Age of Ultron,Sokovian Acid Student,,Gareth Keiran Jones
Avengers: Age of Ultron,Dr. Cho's Assistant,,Chan Woo Lim
Avengers: Age of Ultron,Dr. Cho's Assistant,,Minhee Yeo
Avengers: Age of Ultron,Klaue's Mercenary,,Bentley Kalu
Avengers: Age of Ultron,Ballet Instructor,,Julian Bleach
Avengers: Age of Ultron,Johannesburg Cop,,Christopher Beasley
Avengers: Age of Ultron,Johannesburg Cop,,Vuyo Dabula
Avengers: Age of Ultron,Johannesburg Driver,,Nondumiso Tembe
Avengers: Age of Ultron,Johannesburg Onlooker,,Kabelo Thai
Avengers: Age of Ultron,Johannesburg Onlooker,,Lele Ledwaba
Avengers: Age of Ultron,Johannesburg Onlooker,,Mandla Gaduka
Avengers: Age of Ultron,Johannesburg Onlooker,,Harriet Manamela
Avengers: Age of Ultron,Johannesburg Onlooker,,Beulah Hashe
Avengers: Age of Ultron,Johannesburg Onlooker,,Musca Kumalo
Avengers: Age of Ultron,Johannesburg Onlooker,,Mathapelo September
Avengers: Age of Ultron,Johannesburg Elevator Passenger,,Antony Acheampong
Avengers: Age of Ultron,Johannesburg Elevator Passenger,,Chioma Anyanwu
Avengers: Age of Ultron,Cooper Barton,,Ben Sakamoto
Avengers: Age of Ultron,Lila Barton,,Imogen Poynton
Avengers: Age of Ultron,Lila Barton,,Isabella Poynton
Avengers: Age of Ultron,World Hub Tech,,Ingvild Deila
Avengers: Age of Ultron,Korean Train Passenger,,Sunny Yeo
Avengers: Age of Ultron,Korean Train Passenger,,Namju Go
Avengers: Age of Ultron,Korean Train Passenger,,Mina Kweon
Avengers: Age of Ultron,Korean Train Passenger,,Earl T. Kim
Avengers: Age of Ultron,Korean Train Passenger,,Arthur Lee
Avengers: Age of Ultron,Sokovian Family,,Verity Hewlett
Avengers: Age of Ultron,Sokovian Family,,Michael Matovski
Avengers: Age of Ultron,Sokovian Family,,Alma Noce
Avengers: Age of Ultron,Sokovian Family,,Riccardo Richetta
Avengers: Age of Ultron,Sokovian Woman,,Constanza Ruff
Avengers: Age of Ultron,Tub Family Child,,Monty Mclaren-Clark
Avengers: Age of Ultron,Sokovian Driver,,Julia Krynke
Avengers: Age of Ultron,Sokovian SUV Driver,,Tony Christian
Avengers: Age of Ultron,Sokovian SUV Passenger,,Ian Kay
Avengers: Age of Ultron,Sokovian Police Captain,,Barry Aird
Avengers: Age of Ultron,Specialist Cameron Klein,,Aaron Himelstein
Avengers: Age of Ultron,Friday,,Kerry Condon
Avengers: Age of Ultron,Nathaniel Pietro Barton,,Jaiden Stafford
Agents of S.H.I.E.L.D.,Phil Coulson,,Clark Gregg
Agents of S.H.I.E.L.D.,Melinda May,,Ming-Na Wen
Agents of S.H.I.E.L.D.,Daisy 'Skye' Johnson,,Chloe Bennet
Agents of S.H.I.E.L.D.,Jemma Simmons,,Elizabeth Henstridge
Agents of S.H.I.E.L.D.,Leo Fitz,,Iain De Caestecker
Agents of S.H.I.E.L.D.,Alphonso 'Mack' Mackenzie,,Henry Simmons
Agents of S.H.I.E.L.D.,Grant Ward,,Brett Dalton
Agents of S.H.I.E.L.D.,Elena 'Yo-Yo' Rodriguez,,Natalia Cordova-Buckley
Agents of S.H.I.E.L.D.,Deke Shaw,,Jeff Ward
Agents of S.H.I.E.L.D.,Lance Hunter,,Nick Blood
Agents of S.H.I.E.L.D.,Bobbi Morse,,Adrianne Palicki
Agents of S.H.I.E.L.D.,Lincoln Campbell,,Luke Mitchell
Agents of S.H.I.E.L.D.,Holden Radcliffe,,John Hannah
Agents of S.H.I.E.L.D.,Agent Davis,,Maximilian Osinski
Agents of S.H.I.E.L.D.,Enoch,,Joel Stoffer
Agents of S.H.I.E.L.D.,Glenn Talbot,,Adrian Pasdar
Agents of S.H.I.E.L.D.,Antoine Triplett,,B.J. Britt
Agents of S.H.I.E.L.D.,Agent Piper,,Briana Venskus
Agents of S.H.I.E.L.D.,Aida,,Mallory Jansen
Agents of S.H.I.E.L.D.,Raina,,Ruth Negga
Agents of S.H.I.E.L.D.,Jeffrey Mace,,Jason O'Mara
Agents of S.H.I.E.L.D.,Calvin Zabo,,Kyle MacLachlan
Agents of S.H.I.E.L.D.,Mike Peterson,,J. August Richards
Agents of S.H.I.E.L.D.,Sunil Bakshi,,Simon Kassianides
Agents of S.H.I.E.L.D.,Burrows,,Patrick Cavanaugh
Agents of S.H.I.E.L.D.,Gideon Malick,,Powers Boothe
Agents of S.H.I.E.L.D.,Jiaying,,Dichen Lachman
Agents of S.H.I.E.L.D.,Gordon,,Jamie Harris
Agents of S.H.I.E.L.D.,Giyera,,Mark Dacascos
Agents of S.H.I.E.L.D.,General Hale,,Catherine Dent
Agents of S.H.I.E.L.D.,Daniel Sousa,,Enver Gjokaj
Agents of S.H.I.E.L.D.,Billy Koenig,,Patton Oswalt
Agents of S.H.I.E.L.D.,Andrew Garner,,Blair Underwood
Agents of S.H.I.E.L.D.,Ghost Rider,,Gabriel Luna
Agents of S.H.I.E.L.D.,Anton Ivanov,,Zach McGowan
Agents of S.H.I.E.L.D.,Daniel Whitehall,,Reed Diamond
Agents of S.H.I.E.L.D.,Carl Creel,,Brian Patrick Wade
Agents of S.H.I.E.L.D.,Flint,,Coy Stewart
Agents of S.H.I.E.L.D.,Agent Weaver,,Christine Adams
Agents of S.H.I.E.L.D.,Nathaniel Malick,,Thomas E. Sullivan
Agents of S.H.I.E.L.D.,Kasius,,Dominic Rains
Agents of S.H.I.E.L.D.,Ian Quinn,,David Conrad
Agents of S.H.I.E.L.D.,Sinara,,Florence Faivre
Agents of S.H.I.E.L.D.,Rosalind Price,,Constance Zimmer
Agents of S.H.I.E.L.D.,Kara Lynn Palamas,,Maya Stojan
Agents of S.H.I.E.L.D.,Werner von Strucker,,Spencer Treat Clark
Agents of S.H.I.E.L.D.,Ava,,Tunisha Hubbard
Agents of S.H.I.E.L.D.,Izel,,Karolina Wydra
Agents of S.H.I.E.L.D.,J.T. James,,Axle Whitehead
Agents of S.H.I.E.L.D.,Polly Hinton,,Lola Glaudini
Agents of S.H.I.E.L.D.,Snowflake,,Brooke Williams
Agents of S.H.I.E.L.D.,Jaco,,Winston James Francis
Agents of S.H.I.E.L.D.,John Garrett,,Bill Paxton
Agents of S.H.I.E.L.D.,Luke,,Tobias Jelinek
Agents of S.H.I.E.L.D.,Ruby,,Dove Cameron
Agents of S.H.I.E.L.D.,Qovas,,Peter Mensah
Agents of S.H.I.E.L.D.,Lash,,Matthew Willig
Agents of S.H.I.E.L.D.,Joey Gutierrez,,Juan Pablo Raba
Agents of S.H.I.E.L.D.,Luther Banks,,Andrew Howard
Agents of S.H.I.E.L.D.,Malachi,,Christopher James Baker
Agents of S.H.I.E.L.D.,Agent Prince,,Ricardo Walker
Agents of S.H.I.E.L.D.,Agent Anderson,,Alexander Wraith
Agents of S.H.I.E.L.D.,Robin Hinton,,Lexy Kolker
Agents of S.H.I.E.L.D.,Agent Diaz,,Geri-Nikole Love
Agents of S.H.I.E.L.D.,Alisha Whitley,,Alicia Vela-Bailey
Agents of S.H.I.E.L.D.,Carla Talbot,,Raquel Gardner
Agents of S.H.I.E.L.D.,Kora,,Dianne Doan
Agents of S.H.I.E.L.D.,Senator Ellen Nadeer,,Parminder Nagra
Agents of S.H.I.E.L.D.,Eli Morrow,,José Zúñiga
Agents of S.H.I.E.L.D.,Tess,,Eve Harlow
Agents of S.H.I.E.L.D.,Dr. Marcus Benson,,Barry Shabaka Henley
Agents of S.H.I.E.L.D.,Lucy Bauer,,Lilli Birdsell
Agents of S.H.I.E.L.D.,Sibyl,,Tamara Taylor
Agents of S.H.I.E.L.D.,Hope Mackenzie,,Jordan Rivera
Agents of S.H.I.E.L.D.,Pax,,Matt O'Leary
Agents of S.H.I.E.L.D.,Candice Lee,,Shontae Saldana
Agents of S.H.I.E.L.D.,Robert Gonzales,,Edward James Olmos
Agents of S.H.I.E.L.D.,Kebo,,Daz Crawford
Agents of S.H.I.E.L.D.,Agent Oliver,,Mark Allan Stewart
Agents of S.H.I.E.L.D.,Victoria Hand,,Saffron Burrows
Agents of S.H.I.E.L.D.,Gabe Reyes,,Lorenzo James Henrie
Agents of S.H.I.E.L.D.,Trevor Khan,,Shainu Bala
Agents of S.H.I.E.L.D.,Grill,,Pruitt Taylor Vince
Agents of S.H.I.E.L.D.,General Rick Stoner,,Patrick Warburton
Agents of S.H.I.E.L.D.,Toad,,T.J. Alvarado
Agents of S.H.I.E.L.D.,Boyle,,Scott Kruse
Agents of S.H.I.E.L.D.,Agent Nathanson,,Blaise Miller
Agents of S.H.I.E.L.D.,Kree Watch Commander,,Jay Hunter
Agents of S.H.I.E.L.D.,Agent Julian,,Matthew Law
Agents of S.H.I.E.L.D.,Jiaying's Assistant,,Brendan Wayne
Agents of S.H.I.E.L.D.,Alistair Fitz,,David O'Hara
Agents of S.H.I.E.L.D.,Tucker Shockley,,John Pyper-Ferguson
Agents of S.H.I.E.L.D.,Felix Blake,,Titus Welliver
Agents of S.H.I.E.L.D.,Jasper Sitwell,,Maximiliano Hernández
Agents of S.H.I.E.L.D.,Edison Po,,Cullen Douglas
Agents of S.H.I.E.L.D.,John Garrett,,James Paxton
Agents of S.H.I.E.L.D.,Agent Keller,,Lucas Bryant
Agents of S.H.I.E.L.D.,Vijay Nadeer,,Manish Dayal
Agents of S.H.I.E.L.D.,President Ellis,,William Sadler
Agents of S.H.I.E.L.D.,Joseph Bauer,,Kerr Smith
Agents of S.H.I.E.L.D.,Agent O'Brien,,Derek Phillips
Agents of S.H.I.E.L.D.,Atarah,,Sherri Saum
Agents of S.H.I.E.L.D.,Ace Peterson,,Ajani Wrighster
Agents of S.H.I.E.L.D.,Hugo,,Ward Roberts
Agents of S.H.I.E.L.D.,Maria Hill,,Cobie Smulders
Agents of S.H.I.E.L.D.,Kenneth Turgeon,,Adam Kulbersh
Agents of S.H.I.E.L.D.,Vincent,,Usman Ally
Agents of S.H.I.E.L.D.,Lucio,,Gabriel Salvador
Agents of S.H.I.E.L.D.,Tye,,Max E. Williams
Agents of S.H.I.E.L.D.,Baal-Gad,,Christian Ochoa Lavernia
Agents of S.H.I.E.L.D.,Isaiah,,Jan Uddin
Agents of S.H.I.E.L.D.,Agent Kaminsky,,Jeffrey Muller
Agents of S.H.I.E.L.D.,Kimball,,Katy M. O'Brian
Agents of S.H.I.E.L.D.,Dr. List,,Henry Goodman
Agents of S.H.I.E.L.D.,Hek-Sel,,Luke Massy
Agents of S.H.I.E.L.D.,Chen,,Jen Kuo Sung
Agents of S.H.I.E.L.D.,Robin,,Willow Hale
Agents of S.H.I.E.L.D.,Scientist,,Aaron Fili
Agents of S.H.I.E.L.D.,Recruit #1,,Jason Sweat
Agents of S.H.I.E.L.D.,Kree Doctor,,Ryan R. Moos
Agents of S.H.I.E.L.D.,Lady Sif,,Jaimie Alexander
Agents of S.H.I.E.L.D.,Lorelei,,Elena Satine
Agents of S.H.I.E.L.D.,Debbie,,Shannon Lucio
Agents of S.H.I.E.L.D.,Professor Elliot Randolph,,Peter MacNicol
Agents of S.H.I.E.L.D.,Donnie Gill,,Dylan Minnette
Agents of S.H.I.E.L.D.,Jimmy Mackenzie,,Robert Belushi
Agents of S.H.I.E.L.D.,Marcus Daniels,,Patrick Brennan
Agents of S.H.I.E.L.D.,Dr. Streiten,,Ron Glass
Agents of S.H.I.E.L.D.,Peggy Carter,,Hayley Atwell
Agents of S.H.I.E.L.D.,Wilfred 'Freddy' Malick,,Darren Barnet
Agents of S.H.I.E.L.D.,Wilfred 'Freddy' Malick,,Neal Bledsoe
Agents of S.H.I.E.L.D.,Nick Fury,,Samuel L. Jackson
Agents of S.H.I.E.L.D.,Isabelle 'Izzy' Hartley,,Lucy Lawless
Agents of S.H.I.E.L.D.,Agent Calderon,,Kirk Acevedo
Agents of S.H.I.E.L.D.,Frederick,,Dan Donohue
Agents of S.H.I.E.L.D.,Tony Caine,,Jake Busey
Agents of S.H.I.E.L.D.,Viola,,Nora Zehetner
Agents of S.H.I.E.L.D.,Agent Shaw,,Charles Halford
Agents of S.H.I.E.L.D.,Kree Captain,,Derek Mears
Agents of S.H.I.E.L.D.,Samuel Voss,,Michael McGrady
Agents of S.H.I.E.L.D.,Roxy Glass,,Tipper Newton
Agents of S.H.I.E.L.D.,Main Guard,,Brandon Molale
Agents of S.H.I.E.L.D.,General Jacobs,,Glenn Morshower
Agents of S.H.I.E.L.D.,Stephanie Malick,,Bethany Joy Lenz
Agents of S.H.I.E.L.D.,Ben,,Myko Olivier
Agents of S.H.I.E.L.D.,Basha,,Rya Kihlstedt
Agents of S.H.I.E.L.D.,Agent Brandon Gamble,,Stephen Bishop
Agents of S.H.I.E.L.D.,Agent Ford,,Dawan Owens
Agents of S.H.I.E.L.D.,Will Daniels,,Dillon Casey
Agents of S.H.I.E.L.D.,Taryan,,Craig Parker
Agents of S.H.I.E.L.D.,Li,,Byron Mann
Agents of S.H.I.E.L.D.,Sebastian Derik,,Brian Van Holt
Agents of S.H.I.E.L.D.,Christian Ward,,Tim DeKay
Agents of S.H.I.E.L.D.,Faulnak,,Samuel Roukin
Agents of S.H.I.E.L.D.,Chief Wellins,,Stewart Skelton
Agents of S.H.I.E.L.D.,Lilla Mackenzie,,Paulina Lule
Agents of S.H.I.E.L.D.,Young Gideon Malick,,Cameron Palatas
Agents of S.H.I.E.L.D.,Gunner,,James Harvey Ward
Agents of S.H.I.E.L.D.,Lieutenant Evans,,Zibby Allen
Agents of S.H.I.E.L.D.,Burnell,,Taj Speights
Agents of S.H.I.E.L.D.,John Mackenzie,,Sedale Threatt Jr.
Agents of S.H.I.E.L.D.,Anton Petrov,,Ravil Isyanov
Agents of S.H.I.E.L.D.,Zev,,Kaleti Williams
Agents of S.H.I.E.L.D.,Gordon,,Fin Argus
Agents of S.H.I.E.L.D.,Idaho,,Wilmer Calderon
Agents of S.H.I.E.L.D.,Spectre 1,,Eric Schloesser
Agents of S.H.I.E.L.D.,Kaya,,Portia Bartley
Agents of S.H.I.E.L.D.,Durant,,Gabriel Sousa
Agents of S.H.I.E.L.D.,Karine,,Samantha Cutaran
Agents of S.H.I.E.L.D.,Serious Man,,David Weiss
Agents of S.H.I.E.L.D.,Agent Kim,,Chen Tang
Agents of S.H.I.E.L.D.,Long-Haired Gambler,,Douglas Bennett
